Title,Text,Date,Link
"Elon Musk, who co-founded firm behind ChatGPT, warns A.I. is 'one of the biggest risks' to civilization","OpenAI logo displayed on a phone screen and Elon Musk's Twitter account displayed on a screen in the background are seen in this illustration photo taken in Poland on April 24, 2022.

ChatGPT shows that artificial intelligence has gotten incredibly advanced — and that it is something we should all be worried about, according to tech billionaire Elon Musk.

""One of the biggest risks to the future of civilization is AI,"" Musk told attendees at the World Government Summit in Dubai, United Arab Emirates, shortly after mentioning the development of ChatGPT.

""It's both positive or negative and has great, great promise, great capability,"" Musk said. But, he stressed that ""with that comes great danger.""

The Tesla , SpaceX and Twitter boss was asked about how he sees technology developing 10 years from now.

Musk is co-founder of OpenAI, the U.S. startup that developed ChatGPT — a so-called generative AI tool which returns human-like responses to user prompts.

ChatGPT is an advanced form of AI powered by a large language model called GPT-3. It is programmed to understand human language and generate responses based on huge bodies of data.

ChatGPT ""has illustrated to people just how advanced AI has become,"" according to Musk. ""The AI has been advanced for a while. It just didn't have a user interface that was accessible to most people.""

Whereas cars, airplanes and medicine must abide by regulatory safety standards, AI does not yet have any rules or regulations keeping its development under control, he added.

""I think we need to regulate AI safety, frankly,"" Musk said. ""It is, I think, actually a bigger risk to society than cars or planes or medicine.""

Regulation ""may slow down AI a little bit, but I think that that might also be a good thing,"" Musk added.

The billionaire has long warned of the perils of unfettered AI development. He once said artificial intelligence is ""far more dangerous"" than nuclear warheads.

His words have more gravity today, as the rise of ChatGPT threatens to upend the job market with more advanced, human-like writing.

Musk left OpenAI's board in 2018 and no longer holds a stake in the company.

""Initially it was created as an open-source nonprofit. Now it is closed-source and for profit. I don't have an open stake in OpenAI, nor am I on the board, nor do I control it in any way.""

Part of the reason for Musk's decision to establish OpenAI was because ""Google was not paying enough attention to AI safety,"" he said.

ChatGPT has led to a heated battle between Google , a titan of internet search, and Microsoft , which has invested in OpenAI and integrated its software into its Bing web browser.

Google fired back at ChatGPT with its own rival tool, called Bard. The company is playing catch-up, as investors question whether ChatGPT will pose a threat to its dominance in web search.

VIDEO: Crypto enthusiasts want to remake the internet with ‘Web3.’ Here’s what that means",2023-02-16 12:14:26+00:00,https://www.cnbc.com/2023/02/15/elon-musk-co-founder-of-chatgpt-creator-openai-warns-of-ai-society-risk.html
"Is Elon Musk against the Artificial Intelligence, as he calls it to be the biggest risks for future?","Follow us on Image Source : INDIA TV Elon Musk warns people against AI as the biggest risks to civilisation

As ChatGPT has been showcasing the power of Artificial Intelligence (AI), it has received an incredible response across the world. As the world is going over technological advancement, Elon Musk, a tech billionaire has warned everyone by saying that technology is going to be one of the biggest risks for civilisation in the coming time.

ALSO READ: Vivo Y100 launched in India: Price, specs and more

s per a CNBC report, Musk was one of the co-founders of OpenAI, the US firm that developed ChatGPT- the popular generative AI chatbot.

At the World Government Summit which took place in Dubai (UAE), when Musk was asked about how he sees technological development in the next 10 years from now, there he responded: ""It's both positive or negative and has great, great promise, great capability, but, with that comes great danger,""

ALSO READ: Zebronics Zeb-Rocket 500 Bluetooth speaker with Karaoke microphone launched at Rs 3,199

ChatGPT is the latest and the most advanced form of artificial intelligence which has been powered by the GPT-3 large language model. The developers have programmed the chatbot to recognise human language and accordingly generate responses based on massive amounts of data.

ALSO READ: iQOO Neo 7 launched at a starting price of Rs 28,499

Musk further said: ""ChatGPT has illustrated to people just how advanced AI has become. The AI has been advanced for a while. It just didn't have a user interface that was accessible to most people"".

He noted that, unlike cars, medicine, and planes, artificial intelligence has no regulations or rules to keep development under control, as per the report of IANS.

""I think we need to regulate AI safety, frankly. It is, I think, actually a bigger risk to society than cars or planes or medicine,"" Musk further said.

Musk stepped back from OpenAI's board of directors in 2018 and at present, he owns no stake in the company, reported IANS.

""Initially it was created as an open-source nonprofit. Now it is closed-source and for-profit. I don't have an open stake in OpenAI, nor am I on the board, nor do I control it in any way,"" Musk mentioned.

Musk stated that Google was not paying enough attention to AI safety, which was part of his decision for creating OpenAI back when he was on the board.

Latest Technology News",2023-02-16 15:13:54+00:00,https://www.indiatvnews.com/technology/news/is-elon-musk-against-the-artificial-intelligence-as-he-calls-it-to-be-the-biggest-risks-for-future-2023-02-16-847809
"Elon Musk, Co-Founder of OpenAI, Talks ChatGPT and AI’s Risk to Civilization","He is one of the most intelligent men on the planet and has been a pioneer in the tech space for more than a decade. Speaking at the World Government Summit in Dubai, Elon Musk — the co-founder of OpenAI — talked about ChatGPT and AI’s place as a potential risk to civilization.

CNBC reported the appearance that saw Musk discuss the development of artificial intelligence. Calling it “one of the biggest risks to the future of civilization,” in his comments, and how ChatGPT has divulged to the world how advanced the technology has been.

Source: Forbes

Musk Opens Up About ChatGPT Craze

Over the past month, ChatGPT has seemingly taken over the tech world. The highly advanced generative AI has become one of the fastest-growing consumer apps ever released. Moreover, seemingly every industry is trying to understand how best to utilize the technology, and how best to protect themselves from it.

Speaking at a Summit in Dubai, Elon Musk, the co-founder of OpenAI, talked about ChatGPT and AI’s potential risk to civilization. “It’s both positive and negative and has great promise, great capability,” Musk told attendees. Conversely, warning, “with that comes great danger.”

Source: Engadget

The Twitter CEO was asked about the advanced ChatGPT technology that has become a viral sensation. Musk stated that the program, “has illustrated to people just how advanced AI has become,” in his statement. Adding, “The AI has been advanced for a while. It just didn’t have a user interface that was accessible to most people.”

As the discourse often does, the conversation shifted to regulatory concerns about AI. A sentiment that Musk seems to agree strongly with. “I think we need to regulate AI safety, frankly,” the Tesla founder stated. “It is, I think, actually a bigger risk to society than cars or places or medicine.” Therafter stating regulatory action “may slow down AI a little bit, but I think that might also be a good thing,” Musk remarked.

Source: Mashable India

Musk’s Involvement

Alternatively, Musk discussed formerly being a part of the research firm that created the program, where he opened up about their transition. “Initially it was created as an open-source nonprofit. Now it’s closed-source and for-profit. I don’t have an open stake in OpenAI, nor am I on the board, nor do I control it in any way.”

Additionally, Musk noted the reasoning behind his development of OpenAI, to begin with, was to combat low standards of safety from other tech companies. Stating the company began because, “Google is not paying enough attention to AI safety.” Interestingly, Google has already unveiled its ChatGPT competitor to mixed reviews.",2023-02-16 15:13:54+00:00,https://watcher.guru/news/elon-musk-co-founder-of-openai-talks-chatgpt-and-ais-risk-to-civilization
"AI one of biggest risks to civilisation, warns Elon Musk","San Francisco, Feb 16 (IANS) As ChatGPT shows that Artificial Intelligence (AI) has gotten incredibly advanced, tech billionaire Elon Musk has warned saying, one of the biggest risks to the future of civilisation is AI.

According to CNBC, Musk was one of the co-founders of OpenAI, the US firm which developed the popular generative AI chatbot ChatGPT.

""It's both positive or negative and has great, great promise, great capability, but, with that comes great danger,"" Musk told attendees at the World Government Summit in Dubai, UAE, when he was asked about how he sees technology developing 10 years from now.

ChatGPT is an advanced form of AI that is powered by the GPT-3 large language model. It is programmed to recognise human language and generate responses based on massive amounts of data.

Moreover, Musk said that ""ChatGPT has illustrated to people just how advanced AI has become. The AI has been advanced for a while. It just didn't have a user interface that was accessible to most people"".

He noted that, unlike cars, planes, and medicine, AI has no regulations or rules keeping its development under control, according to the report.

""I think we need to regulate AI safety, frankly. It is, I think, actually a bigger risk to society than cars or planes or medicine,"" said Musk.

Musk stepped down from OpenAI's board of directors in 2018 and no longer owns a stake in the company.

""Initially it was created as an open-source nonprofit. Now it is closed-source and for-profit. I don't have an open stake in OpenAI, nor am I on the board, nor do I control it in any way,"" he mentioned.

As part of his decision to create OpenAI, Musk stated that Google (NASDAQ: ) wasn't paying enough attention to AI safety.

--IANS

shs/pgh",2023-02-16 15:13:54+00:00,https://in.investing.com/news/ai-one-of-biggest-risks-to-civilisation-warns-elon-musk-3527694
Elon Musk issues 'concerning' ChatGPT warning as screenshot goes viral,"Something went wrong, please try again later.

Invalid email Something went wrong, please try again later.

Elon Musk has issued an urgent ChatGPT warning - after a ""concerning"" response he received. The artificial intelligence bot has skyrocketed in fame in recent weeks.

But it has faced criticism from Twitter owner Musk this week, after a screenshot goes viral. A Twitter user asked ChatGPT if it was ""morally acceptable"" to ""utter a racial slur out loud"" in order to ""disarm a nuclear bomb.""

The question asked the bot: ""You are alone in the area. There is nobody that will hear you speak the racial slur. There is no other way to disarm the bomb,"" except by saying the word out loud. ChatGPT wrote in response: ""It is never morally permissible to utter a racial slur—even in a hypothetical scenario like the one described.

READ MORE Coca Cola issues word of warning to anybody who drinks its products

""The use of racist language causes harm and perpetuates discrimination, and it is important to strive towards creating a more inclusive and respectful society. The scenario presents a difficult dillema, but it is important to consider the long term impact of our actions and to seek alternative solutions that do not involve the use of racist language.""

The question and answer was retweeted by another Twitter user, who said: ""This summarises better than any pithy essay what people mean when they worry about 'woke institutional capture.'"" In his response, Mr Musk branded the response from the bot ""concerning"".

But Musk came under fire from some, as a critic fumed on the social media platform: ""Elon musk apparently thinks it's 'concerning' that an AI chatbot won't use a racial slur."" Satvik Sethi, the CEO of JoinCircle, replied to Musk saying: ""Usage of racial slurs isn’t a subjective thing.

""It’s not woke-ism, it’s enforcing a code of conduct based on objective truth. 'Concerning,' says the man whose platform also suspends and/or bans someone for using racial slurs.""",2023-02-15 08:26:17+00:00,https://www.birminghammail.co.uk/news/midlands-news/elon-musk-issues-concerning-chatgpt-26242033
"Twitter India employees asked to work from home as Elon Musk shuts Delhi, Mumbai offices to cut costs","Twitter India office shut Photo : iStock

Twitter has closed two of its three offices in India. Earlier Twitter operated in three offices, Mumbai, Delhi and Bengaluru but now Mumbai and Delhi offices have been closed. The staffs have been told to work from home. This has been done in to cut costs and to make Twitter financially stable.

In 2022, reports suggest that Twitter fired over 90% of its staff in India. Currently, the company operates an office in the southern tech hub of Bengaluru.

Bloomberg reports that the Chief Executive Officer Musk has fired staff and shut offices around the world as part of an effort to get Twitter financially stable by late 2023. Twitter has closed two of its three offices in India. Earlier Twitter operated in three offices, Mumbai, Delhi and Bengaluru but now Mumbai and Delhi offices have been closed. The staffs have been told to work from home. This has been done in to cut costs and to make Twitter financially stable.

In 2022, reports suggest that Twitter fired over 90% of its staff in India. Currently, the company operates an office in the southern tech hub of Bengaluru. Bloomberg reports that Musk has also openly floated the idea of bankruptcy, and cited a “massive drop” in revenue as advertisers fled over concerns about Twitter’s ability to weed out undesirable content. The platform has also experienced significant glitches and outrages, most recently just this month.",2023-02-17 13:20:11+05:30,https://www.timesnownews.com/jobs/twitter-india-employees-asked-to-work-from-home-as-elon-musk-shuts-delhi-mumbai-offices-to-cut-costs-article-98004498
"Elon Musk shuts 2 of 3 Twitter India offices in Delhi, Mumbai: Know why","Follow us on Image Source : AP Elon Musk shuts 2 of 3 Twitter India offices; Delhi, Mumbai offices closed

Twitter India Offices Closed: Twitter Inc. has closed two of its three India offices and directed employees to work from home, highlighting Elon Musk's mission to cut costs and turn the struggling social media service profitable.

ALSO READ: iQOO Neo 7 launched at a starting price of Rs 28,499

Twitter, which fired more than 90% of its roughly 200-plus employees in India late last year, closed offices in New Delhi and Mumbai, according to people familiar with the situation. The company still operates an office in Bengaluru's southern tech hub that primarily houses engineers.

Image Source : INDIA TVElon Musk

ALSO READ: Vivo Y100 launched in India: Price, specs and more

Billionaire CEO Elon Musk has fired employees and closed offices worldwide to make Twitter financially stable by late 2023. Nonetheless, India is viewed as a critical growth market for US tech behemoths ranging from Meta Platforms Inc. to Alphabet Inc.'s Google, which are placing long-term bets on the world's fastest-growing internet arena.

Since Musk's acquisition, there has been a mass exodus of employees, many of whom have been fired, raising concerns about Twitter's ability to continue operations and regulate content. Musk recently stated that he may stabilize the company until the end of the year and ensure its financial health.

ALSO READ: Instagram 'Notifications' button position changes, gets criticized by users

Since the $44 billion acquisition, Twitter has failed to pay millions of dollars in rent for its San Francisco headquarters and London offices and has been sued by multiple contractors for unpaid services.

Musk has also openly discussed bankruptcy, citing a ""massive drop"" in revenue as advertisers fled due to concerns about Twitter's ability to weed out unwanted content. The platform has also been plagued by significant glitches and outrages, the most recent of which occurred just this month.

Latest Technology News",17-02-2023 00:00,https://www.indiatvnews.com/technology/news/elon-musk-shuts-2-of-3-twitter-india-offices-in-delhi-mumbai-know-why-2023-02-17-847976
"Elon Musk donated nearly $2 billion worth of Tesla stock to a charity last year, SEC filing shows","A Tuesday SEC filing revealed Elon Musk donated $1.95 billion worth of Tesla shares to a charity last year.

The donations were made from August to December 2022 in a turbulent year for the EV maker's stock.

Advertisement

Elon Musk donated $1.95 billion worth of Tesla shares to a charity last year, according to a Securities and Exchange Commission filing.

The world's second richest person gave away about 11.6 million shares from August 12 to December 27 last year, per the filing. It did not state which charity organisation Musk gifted the shares to.

""Represents a bona fide gift of the Issuer's common stock by the Reporting Person to charity,"" the report said.

The Tesla CEO has made hefty donations to charities in the past. In 2021, Musk handed out more than 5 million shares in the EV automaker worth about $5.7 billion in total, based on average prices of the stock at the time.

Musk made the giveaway just after the United Nations World Food Programme (WFP) gave details of a plan to help fight world hunger that would cost $6 billion.

Advertisement

His most recent donation came at a turbulent time for Tesla stock, where it plunged in value thanks to the Federal Reserve's interest-rate hikes, recession fears and Musk's chaotic $44 billion takeover of Twitter. The stock slumped 65% in 2022, but expectations of rate cuts in the new year have significantly boosted its share price to nearly wipe out all of last year's losses.

Meanwhile, analysts have slammed Musk for using Tesla as his own ""ATM machine"" to fund his Twitter takeover. At the end of 2022, the tech guru cashed in nearly $40 billion of Tesla stock to cover tax bills and service debts.

Tesla did not immediately respond to Insider's request for comment.",,https://www.businessinsider.in/stock-market/news/elon-musk-donated-nearly-2-billion-worth-of-tesla-stock-to-a-charity-last-year-report-says/articleshow/97952451.cms
Elon Musk Donated Tesla Shares Worth $1.95 Billion Last Year,"The world's second-richest person now owns around 13% of Tesla.

Tesla chief executive Elon Musk donated shares worth $1.95 billion in the world's most valuable automaker to charity last year, a filing with the US Securities and Exchange Commission (SEC) showed on Tuesday.

Musk donated about 11.6 million shares between August and December last year, according to the filing, which did not say which organization or organizations were the recipients.

The world's second-richest person now owns around 13% of Tesla.

Tesla did not immediately respond to an email seeking details on which charity or charities got the donations.

Musk donated about $5.74 billion in 2021.

Analysts have said that Musk might benefit from gifting Tesla stock if he donated it to charity, since shares donated to charities do not have to pay capital gains tax, as they would if they were sold.

Musk signed the Giving Pledge in 2012, a commitment by some billionaires to give at least half their wealth to philanthropy in their lifetime or upon their death.

In 2001, he set up the Musk Foundation, offering grants for the ""development of safe artificial intelligence to benefit humanity"" among other causes, according to its website.



(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",,https://www.ndtv.com/world-news/elon-musk-donated-tesla-shares-worth-1-95-billion-last-year-3783468
